指标,检验,统计量,p,p_BH,显著_BH,层
缓解率,Pearson 卡方(3组),5.098,0.0782,0.3519,False,指标层
复发率,Pearson 卡方(3组),1.285,0.526,0.578,False,指标层
豁免后持续不适率,Pearson 卡方(3组),5.725,0.0571,0.3519,False,指标层
自杀倾向率,Pearson 卡方(3组),2.115,0.3474,0.578,False,指标层
任何主诉率,Pearson 卡方(3组),2.89,0.2357,0.578,False,指标层
适应期比例,Pearson 卡方(3组),1.573,0.4555,0.578,False,指标层
停药率,Pearson 卡方(3组),1.096,0.578,0.578,False,指标层
失访率,Pearson 卡方(3组),1.902,0.3863,0.578,False,指标层
ΔB(=B1-B12)均值,Kruskal-Wallis,1.435,0.488,0.578,False,指标层
,第3月仍不适率 卡方(3组),1.213,0.5452,0.5452,False,适应期转归层
,第6月仍不适率 卡方(3组),3.736,0.1544,0.193,False,适应期转归层
,第12月仍不适率 卡方(3组),11.017,0.0041,0.0102,True,适应期转归层
,始终未消退率 卡方(3组),9.996,0.0068,0.0113,True,适应期转归层
,首次消退 Log-rank(3组),13.276,0.0013,0.0065,True,适应期转归层
