模型,项,系数,SE,OR,OR CI下,OR CI上,p,区块,检验,df,统计量,结论
含交互(主模型),Intercept,-0.9124,0.0693,0.402,0.351,0.46,0.0,系数,,,,
含交互(主模型),"C(药, Treatment('C'))[T.A]",-0.1065,0.0976,0.899,0.742,1.088,0.2751,系数,,,,
含交互(主模型),"C(药, Treatment('C'))[T.B]",-0.0799,0.099,0.923,0.76,1.121,0.4196,系数,,,,
含交互(主模型),logt,-0.7264,0.044,0.484,0.444,0.527,0.0,系数,,,,
含交互(主模型),"C(药, Treatment('C'))[T.A]:logt",0.0192,0.0627,1.019,0.901,1.153,0.7594,系数,,,,
含交互(主模型),"C(药, Treatment('C'))[T.B]:logt",-0.1132,0.0656,0.893,0.785,1.015,0.0843,系数,,,,
无交互,Intercept,-0.897,0.0652,0.408,0.359,0.463,0.0,系数,,,,
无交互,"C(药, Treatment('C'))[T.A]",-0.0973,0.0907,0.907,0.76,1.084,0.2832,系数,,,,
无交互,"C(药, Treatment('C'))[T.B]",-0.1378,0.0897,0.871,0.731,1.039,0.1242,系数,,,,
无交互,logt,-0.7545,0.0264,0.47,0.446,0.495,0.0,系数,,,,
,,,,,,,0.1008,检验,药物×log(时间) 交互 联合Wald,2,4.589,未观测到显著差异
,,,,,,,0.2869,检验,药物主效应 联合Wald(无交互模型),2,2.497,未观测到显著差异
,,,,,,,0.533,检验,药物×时间 交互 联合Wald（时间为分类，敏感性）,6,5.085,未观测到显著差异
,,,,,,,,检验,可交换相关参数 ρ,,0.3499,同一受试者 4 次观测的组内相关
