区块,药,项,值,备注
指标矩阵,C,缓解率,0.94662,效益型
指标矩阵,C,复发率,0.03077,成本型
指标矩阵,C,豁免后持续不适率,0.12488,成本型
指标矩阵,C,自杀倾向率,0.0143,成本型
指标矩阵,A,缓解率,0.94667,效益型
指标矩阵,A,复发率,0.02354,成本型
指标矩阵,A,豁免后持续不适率,0.10857,成本型
指标矩阵,A,自杀倾向率,0.01905,成本型
指标矩阵,B,缓解率,0.96476,效益型
指标矩阵,B,复发率,0.02388,成本型
指标矩阵,B,豁免后持续不适率,0.09238,成本型
指标矩阵,B,自杀倾向率,0.01143,成本型
权重,,缓解率,0.25,等权（主口径）
权重,,缓解率,0.0011,熵权-原始值口径（对照，本题失效）
权重,,缓解率,0.4532,熵权-极差归一口径（对照，本题失效）
权重,,复发率,0.25,等权（主口径）
权重,,复发率,0.2124,熵权-原始值口径（对照，本题失效）
权重,,复发率,0.1708,熵权-极差归一口径（对照，本题失效）
权重,,豁免后持续不适率,0.25,等权（主口径）
权重,,豁免后持续不适率,0.2001,熵权-原始值口径（对照，本题失效）
权重,,豁免后持续不适率,0.194,熵权-极差归一口径（对照，本题失效）
权重,,自杀倾向率,0.25,等权（主口径）
权重,,自杀倾向率,0.5864,熵权-原始值口径（对照，本题失效）
权重,,自杀倾向率,0.1819,熵权-极差归一口径（对照，本题失效）
贴近度,C,等权（主口径）,0.2601,排名 3
贴近度,C,熵权-原始值口径,0.4996,排名 2
贴近度,C,熵权-极差归一口径,0.1773,排名 3
权重全空间扫描,C,排名第一的比例%,0.0,Dirichlet 均匀采样 20000 组权重
贴近度,A,等权（主口径）,0.4276,排名 2
贴近度,A,熵权-原始值口径,0.2832,排名 3
贴近度,A,熵权-极差归一口径,0.2836,排名 2
权重全空间扫描,A,排名第一的比例%,0.1,Dirichlet 均匀采样 20000 组权重
贴近度,B,等权（主口径）,0.9768,排名 1
贴近度,B,熵权-原始值口径,0.9849,排名 1
贴近度,B,熵权-极差归一口径,0.9856,排名 1
权重全空间扫描,B,排名第一的比例%,99.9,Dirichlet 均匀采样 20000 组权重
熵权预处理分歧,,缓解率,422.8,原始值 0.0011 vs 极差归一 0.4532 的倍数
熵权预处理分歧,,复发率,1.2,原始值 0.2124 vs 极差归一 0.1708 的倍数
熵权预处理分歧,,豁免后持续不适率,1.0,原始值 0.2001 vs 极差归一 0.1940 的倍数
熵权预处理分歧,,自杀倾向率,3.2,原始值 0.5864 vs 极差归一 0.1819 的倍数
留一稳健性(等权),,删除「缓解率」后排序,,B > A > C
留一稳健性(等权),,删除「复发率」后排序,,B > C > A
留一稳健性(等权),,删除「豁免后持续不适率」后排序,,B > A > C
留一稳健性(等权),,删除「自杀倾向率」后排序,,B > A > C
逐指标最优,,缓解率,B,C 94.66%  A 94.67%  B 96.48%
逐指标最优,,复发率,A,C 3.08%  A 2.35%  B 2.39%
逐指标最优,,豁免后持续不适率,B,C 12.49%  A 10.86%  B 9.24%
逐指标最优,,自杀倾向率,B,C 1.43%  A 1.90%  B 1.14%
两两支配,,C 是否在全部 4 指标上优于 A,否（1/4）,缓解率:A优  复发率:A优  豁免后持续不适率:A优  自杀倾向率:C优
两两支配,,C 是否在全部 4 指标上优于 B,否（0/4）,缓解率:B优  复发率:B优  豁免后持续不适率:B优  自杀倾向率:B优
两两支配,,A 是否在全部 4 指标上优于 C,否（3/4）,缓解率:A优  复发率:A优  豁免后持续不适率:A优  自杀倾向率:C优
两两支配,,A 是否在全部 4 指标上优于 B,否（1/4）,缓解率:B优  复发率:A优  豁免后持续不适率:B优  自杀倾向率:B优
两两支配,,B 是否在全部 4 指标上优于 C,是（Pareto 支配）,缓解率:B优  复发率:B优  豁免后持续不适率:B优  自杀倾向率:B优
两两支配,,B 是否在全部 4 指标上优于 A,否（3/4）,缓解率:B优  复发率:A优  豁免后持续不适率:B优  自杀倾向率:B优
